index,description,length,rating
0,A Epic Drama of a Feminist And a Mad Scientist who must Battle a Teacher in The Canadian Rockies,86,PG
1,A Astounding Epistle of a Database Administrator And a Explorer who must Find a Car in Ancient China,48,G
2,A Astounding Reflection of a Lumberjack And a Car who must Sink a Lumberjack in A Baloon Factory,50,NC-17
3,A Fanciful Documentary of a Frisbee And a Lumberjack who must Chase a Monkey in A Shark Tank,117,G
4,A Fast-Paced Documentary of a Pastry Chef And a Dentist who must Pursue a Forensic Psychologist in The Gulf of Mexico,130,G
5,A Intrepid Panorama of a Robot And a Boy who must Escape a Sumo Wrestler in Ancient China,169,PG
6,A Touching Saga of a Hunter And a Butler who must Discover a Butler in A Jet Boat,62,PG-13
7,A Epic Tale of a Moose And a Girl who must Confront a Monkey in Ancient India,54,R
8,A Thoughtful Panorama of a Database Administrator And a Mad Scientist who must Outgun a Mad Scientist in A Jet Boat,114,PG-13
9,A Action-Packed Tale of a Man And a Lumberjack who must Reach a Feminist in Ancient China,63,NC-17
10,A Boring Epistle of a Butler And a Cat who must Fight a Pastry Chef in A MySQL Convention,126,G
11,A Fanciful Saga of a Hunter And a Pastry Chef who must Vanquish a Boy in Australia,136,PG
12,A Action-Packed Drama of a Dentist And a Crocodile who must Battle a Feminist in The Canadian Rockies,150,PG
13,A Emotional Drama of a A Shark And a Database Administrator who must Vanquish a Pioneer in Soviet Georgia,94,NC-17
14,A Brilliant Drama of a Cat And a Mad Scientist who must Battle a Feminist in A MySQL Convention,46,NC-17
15,A Fast-Paced Drama of a Robot And a Composer who must Battle a Astronaut in New Orleans,180,NC-17
16,A Fast-Paced Character Study of a Composer And a Dog who must Outgun a Boat in An Abandoned Fun House,82,R
17,A Thoughtful Drama of a Composer And a Feminist who must Meet a Secret Agent in The Canadian Rockies,57,PG-13
18,A Emotional Display of a Pioneer And a Technical Writer who must Battle a Man in A Baloon,113,PG
19,A Boring Drama of a Woman And a Squirrel who must Conquer a Student in A Baloon,79,R
20,A Insightful Drama of a Girl And a Astronaut who must Face a Database Administrator in A Shark Tank,129,R
21,A Emotional Character Study of a Dentist And a Crocodile who must Meet a Sumo Wrestler in California,85,G
22,A Lacklusture Display of a Dentist And a Dentist who must Fight a Girl in Australia,92,R
23,A Thoughtful Display of a Explorer And a Pastry Chef who must Overcome a Feminist in The Sahara Desert,181,R
24,A Thoughtful Display of a Woman And a Astronaut who must Battle a Robot in Berlin,74,G
25,A Amazing Panorama of a Pastry Chef And a Boat who must Escape a Woman in An Abandoned Amusement Park,86,G
26,A Amazing Reflection of a Database Administrator And a Astronaut who must Outrace a Database Administrator in A Shark Tank,179,NC-17
27,A Touching Panorama of a Waitress And a Woman who must Outrace a Dog in An Abandoned Amusement Park,91,PG-13
28,A Fateful Yarn of a Womanizer And a Feminist who must Succumb a Database Administrator in Ancient India,168,NC-17
29,A Epic Story of a Pastry Chef And a Woman who must Chase a Feminist in An Abandoned Fun House,82,R
30,A Awe-Inspiring Reflection of a Pastry Chef And a Teacher who must Overcome a Sumo Wrestler in A U-Boat,92,NC-17
31,A Astounding Story of a Dog And a Squirrel who must Defeat a Woman in An Abandoned Amusement Park,119,R
32,A Action-Packed Reflection of a Crocodile And a Explorer who must Find a Sumo Wrestler in An Abandoned Mine Shaft,153,PG-13
33,A Touching Epistle of a Madman And a Mad Cow who must Defeat a Student in Nigeria,62,NC-17
34,A Action-Packed Reflection of a Pastry Chef And a Composer who must Discover a Mad Scientist in The First Manned Space Station,147,PG-13
35,A Emotional Epistle of a Forensic Psychologist And a Butler who must Challenge a Waitress in An Abandoned Mine Shaft,127,PG-13
36,A Brilliant Panorama of a Mad Scientist And a Mad Cow who must Meet a Pioneer in A Monastery,121,PG
37,A Beautiful Yarn of a Pioneer And a Monkey who must Pursue a Explorer in The Sahara Desert,68,NC-17
38,A Fast-Paced Tale of a Boat And a Teacher who must Succumb a Composer in An Abandoned Mine Shaft,99,G
39,A Boring Saga of a Database Administrator And a Womanizer who must Battle a Waitress in Nigeria,148,R
40,A Fanciful Documentary of a Mad Cow And a Womanizer who must Find a Dentist in Berlin,137,PG
41,A Stunning Reflection of a Robot And a Moose who must Challenge a Woman in California,170,NC-17
42,A Thrilling Yarn of a Feminist And a Hunter who must Fight a Technical Writer in A Shark Tank,170,G
43,A Fast-Paced Panorama of a Technical Writer And a Mad Scientist who must Find a Feminist in An Abandoned Mine Shaft,113,PG-13
44,A Astounding Panorama of a Composer And a Frisbee who must Reach a Husband in Ancient Japan,83,PG-13
45,A Beautiful Tale of a Dentist And a Mad Cow who must Battle a Moose in The Sahara Desert,108,G
46,A Boring Character Study of a A Shark And a Girl who must Outrace a Feminist in An Abandoned Mine Shaft,153,NC-17
47,A Stunning Character Study of a Mad Scientist And a Mad Cow who must Kill a Car in A Monastery,118,PG-13
48,A Emotional Panorama of a Pioneer And a Composer who must Escape a Mad Scientist in A Jet Boat,162,R
49,A Stunning Drama of a Forensic Psychologist And a Husband who must Overcome a Waitress in A Monastery,182,G
50,A Insightful Panorama of a Forensic Psychologist And a Mad Cow who must Build a Mad Scientist in The First Manned Space Station,75,NC-17
51,A Thrilling Documentary of a Composer And a Monkey who must Find a Feminist in California,173,G
52,A Epic Drama of a Madman And a Cat who must Face a A Shark in An Abandoned Amusement Park,87,NC-17
53,A Awe-Inspiring Drama of a Car And a Pastry Chef who must Chase a Crocodile in The First Manned Space Station,113,R
54,A Awe-Inspiring Story of a Feminist And a Cat who must Conquer a Dog in A Monastery,65,G
55,A Intrepid Story of a Cat And a Student who must Vanquish a Girl in An Abandoned Amusement Park,129,G
56,A Stunning Epistle of a Man And a Husband who must Reach a Mad Scientist in A Jet Boat,90,PG-13
57,A Fateful Display of a Womanizer And a Mad Scientist who must Outgun a A Shark in Soviet Georgia,122,G
58,A Astounding Saga of a Dog And a Boy who must Kill a Teacher in The First Manned Space Station,160,R
59,A Awe-Inspiring Epistle of a Student And a Squirrel who must Defeat a Boy in Ancient China,89,R
60,A Fast-Paced Display of a Composer And a Moose who must Sink a Robot in An Abandoned Mine Shaft,175,G
61,A Astounding Panorama of a Lumberjack And a Dog who must Redeem a Woman in An Abandoned Fun House,106,NC-17
62,A Astounding Character Study of a Madman And a Robot who must Meet a Mad Scientist in An Abandoned Fun House,73,PG
63,A Epic Display of a Pioneer And a Student who must Challenge a Butler in The Gulf of Mexico,151,PG-13
64,A Unbelieveable Drama of a Student And a Husband who must Outrace a Sumo Wrestler in Berlin,100,PG
65,A Astounding Panorama of a Man And a Monkey who must Discover a Man in The First Manned Space Station,53,NC-17
66,A Taut Saga of a Crocodile And a Boy who must Overcome a Technical Writer in Ancient China,77,PG-13
67,A Emotional Character Study of a Boat And a Pioneer who must Find a Explorer in A Shark Tank,122,NC-17
68,A Fanciful Documentary of a Womanizer And a Boat who must Defeat a Madman in The First Manned Space Station,85,R
69,A Astounding Drama of a Astronaut And a Cat who must Discover a Woman in The First Manned Space Station,142,NC-17
70,A Emotional Reflection of a Teacher And a Man who must Meet a Cat in The First Manned Space Station,100,PG-13
71,A Stunning Saga of a Mad Scientist And a Forensic Psychologist who must Challenge a Squirrel in A MySQL Convention,93,PG
72,A Touching Tale of a Girl And a Crocodile who must Discover a Waitress in Nigeria,150,PG-13
73,A Fanciful Panorama of a Husband And a Pioneer who must Outgun a Dog in A Baloon,162,PG
74,A Thrilling Documentary of a Car And a Student who must Sink a Hunter in The Canadian Rockies,163,G
75,A Fast-Paced Saga of a Frisbee And a Astronaut who must Overcome a Feminist in Ancient India,103,NC-17
76,A Boring Story of a Womanizer And a Pioneer who must Face a Dog in California,61,G
