id,name,birthdate,deathdate
1,50 Cent,1975-07-06T00:00:00.000,
2,A. Michael Baldwin,1963-04-04T00:00:00.000,
3,A. Raven Cruz,,
4,A.J. Buckley,1978-02-09T00:00:00.000,
5,A.J. DeLucia,,
6,A.J. Langer,1974-05-22T00:00:00.000,
7,Aaliyah,1979-01-16T00:00:00.000,2001-08-25T00:00:00.000
8,Aaron Ashmore,1979-10-07T00:00:00.000,
9,Aaron Hann,,
10,Aaron Hill,1983-04-23T00:00:00.000,
11,Aaron Hughes,,
12,Aaron Kwok,1965-10-26T00:00:00.000,
13,Aaron Schneider,,
14,Aaron Seltzer,1974-01-12T00:00:00.000,
15,Aaron Stanford,1976-12-27T00:00:00.000,
16,Aaron Staton,,
17,Aaron Yoo,1979-05-12T00:00:00.000,
18,Aasheekaa Bathija,,
19,Aasif Mandvi,1966-03-05T00:00:00.000,
20,Abbie Cornish,1982-08-07T00:00:00.000,
21,Abby Elliott,1987-06-16T00:00:00.000,
22,Abby Mukiibi Nkaaga,,
23,Abel Ferrara,1951-07-19T00:00:00.000,
24,Abhishek Bachchan,1976-02-05T00:00:00.000,
25,Abigail Evans,,
26,Abigail Spencer,1981-08-04T00:00:00.000,
27,Abraham Benrubi,1969-10-04T00:00:00.000,
28,Ace Marrero,1982-07-28T00:00:00.000,
29,Adam Alexi-Malle,1964-09-24T00:00:00.000,
30,Adam Arkin,1956-08-19T00:00:00.000,
31,Adam Baldwin,1962-02-27T00:00:00.000,
32,Adam Boyer,,
33,Adam Brooks,1956-09-03T00:00:00.000,
34,Adam Brown,,
35,Adam Butcher,1988-10-20T00:00:00.000,
36,Adam Carolla,1964-05-27T00:00:00.000,
37,Adam Copeland,1973-10-30T00:00:00.000,
38,Adam DiMarco,1990-04-14T00:00:00.000,
39,Adam Garcia,1973-06-01T00:00:00.000,
40,Adam Goldberg,1970-10-25T00:00:00.000,
41,Adam Green,1975-03-31T00:00:00.000,
42,Adam Hicks,1992-11-28T00:00:00.000,
43,Adam Jay Epstein,,
44,Adam Lamberg,1984-09-14T00:00:00.000,
45,Adam LeFevre,1950-08-11T00:00:00.000,
46,Adam Marcus,,
47,Adam McKay,1968-04-17T00:00:00.000,
48,Adam Rapp,1968-06-15T00:00:00.000,
49,Adam Ratcliffe,,
50,Adam Rayner,,
51,Adam Rifkin,1966-12-31T00:00:00.000,
52,Adam Sandler,1966-09-09T00:00:00.000,
53,Adam Scott,1973-04-03T00:00:00.000,
54,Adam Shankman,1964-11-27T00:00:00.000,
55,Adam Trese,1969-01-04T00:00:00.000,
56,Adel Karam,,
57,Adelaide Kane,1990-08-09T00:00:00.000,
58,Aden Young,,
59,Adhir Kalyan,1983-08-04T00:00:00.000,
60,Aditya Roy Kapoor,1985-11-16T00:00:00.000,
61,Adolphe Menjou,1890-02-18T00:00:00.000,1963-10-29T00:00:00.000
62,Adrian Alonso,1994-04-06T00:00:00.000,
63,Adrian Gonzalez,1938-05-08T00:00:00.000,1998-10-23T00:00:00.000
64,Adrian Holmes,1974-03-31T00:00:00.000,
65,Adrian Lester,1968-08-14T00:00:00.000,
66,Adrian Lyne,1941-03-04T00:00:00.000,
67,Adrian Martinez,,
68,Adrian Pasdar,1965-04-30T00:00:00.000,
69,Adrian Paul,1959-05-29T00:00:00.000,
70,Adriana Barraza,1956-03-05T00:00:00.000,
71,Adriana Caselotti,1916-05-16T00:00:00.000,1997-01-19T00:00:00.000
72,Adriane Lenox,1956-09-11T00:00:00.000,
73,Adriano Giannini,1971-05-10T00:00:00.000,
74,Adrien Dorval,1963-03-22T00:00:00.000,
75,Adrienne Barbeau,1945-06-11T00:00:00.000,
76,Adrienne Frantz,1978-06-07T00:00:00.000,
77,Adrienne King,1955-07-21T00:00:00.000,
78,Adrienne Pickering,1981-02-22T00:00:00.000,
79,Adrienne Shelly,1966-06-24T00:00:00.000,2006-11-01T00:00:00.000
80,Agame Malembo-Emene,,
81,Agata Kulesza,1971-09-27T00:00:00.000,
82,Agata Trzebuchowska,,
83,Agnes Bruckner,1985-08-16T00:00:00.000,
84,Agnes Moorehead,1900-12-06T00:00:00.000,1974-04-30T00:00:00.000
85,Agnia Ditkovskite,1988-05-11T00:00:00.000,
86,Agnieszka Holland,1948-11-28T00:00:00.000,
87,Agnieszka Wojtowicz-Vosloo,,
88,Agust�n D�az Yanes,,
89,Ah-sung Ko,1992-08-10T00:00:00.000,
90,Ahmad Massad,,
91,Ahmed Best,1973-08-19T00:00:00.000,
92,Ahmed Hassan,,
93,Ahmet Ertegun,1923-07-31T00:00:00.000,2006-12-14T00:00:00.000
94,Ahna O'Reilly,1984-09-21T00:00:00.000,
95,Ahney Her,,
96,Aida Elkashef,,
97,Aida Folch,1986-11-24T00:00:00.000,
98,Aida Turturro,1962-09-25T00:00:00.000,
99,Aidan McArdle,,
100,Aidan Quinn,1959-03-08T00:00:00.000,
101,Aidan Turner,1983-06-19T00:00:00.000,
102,Aimee Garcia,1978-11-28T00:00:00.000,
103,Aimee Teegarden,1989-10-10T00:00:00.000,
104,Aisha Hinds,1975-11-13T00:00:00.000,
105,Aisha Tyler,1970-09-18T00:00:00.000,
106,Aitana S�nchez-Gij�n,1968-11-05T00:00:00.000,
107,AJ Michalka,1991-04-10T00:00:00.000,
108,Ajay Naidu,1972-02-12T00:00:00.000,
109,Aki Aleong,1934-12-19T00:00:00.000,
110,Aki Kaurism�ki,1957-04-04T00:00:00.000,
111,Akie Kotabe,1980-07-18T00:00:00.000,
112,Akima,,2014-07-27T00:00:00.000
113,Akira Kurosawa,1910-03-23T00:00:00.000,1998-09-06T00:00:00.000
