id,film_id,person_id,role
1,1,1630,director
2,1,4843,actor
3,1,5050,actor
4,1,8175,actor
5,2,3000,director
6,2,4019,actor
7,2,5274,actor
8,2,7449,actor
9,3,1459,actor
10,3,3929,actor
11,3,4581,director
12,3,6580,actor
13,4,1008,actor
14,4,2649,director
15,4,2941,actor
16,4,6950,actor
17,5,2580,actor
18,5,2648,actor
19,5,2747,director
20,5,4958,actor
21,6,462,actor
22,6,753,actor
23,6,1234,actor
24,6,2996,director
25,7,3094,director
26,7,3344,actor
27,7,3519,actor
28,7,5146,actor
29,8,61,actor
30,8,2593,director
31,8,2693,actor
32,8,3038,actor
33,9,2070,actor
34,9,2751,actor
35,9,2838,actor
36,9,4906,director
37,10,2824,actor
38,10,4955,actor
39,10,4962,director
40,10,5051,actor
41,11,140,actor
42,11,1477,actor
43,11,2594,director
44,11,8170,actor
45,12,2262,actor
46,12,2385,actor
47,12,2838,actor
48,12,5215,director
49,13,1228,director
50,13,2626,actor
51,13,6244,actor
52,13,7415,actor
53,14,1901,actor
54,14,2451,actor
55,14,5512,director
56,14,7406,actor
57,15,71,actor
58,15,817,actor
59,15,4971,actor
60,15,8245,director
61,16,1901,actor
62,16,3902,director
63,16,5273,actor
64,16,6900,actor
65,17,2107,actor
66,17,3053,director
67,17,3895,actor
68,17,8028,actor
69,18,466,actor
70,18,2594,director
71,18,3517,actor
72,18,4874,actor
73,19,2779,actor
74,19,3012,actor
75,19,7762,actor
76,19,8101,director
77,20,1475,actor
78,20,2594,director
79,20,3517,actor
80,20,7762,actor
81,21,804,actor
82,21,5126,actor
83,21,7714,actor
84,21,8101,director
85,22,1477,actor
86,22,3035,actor
87,22,3226,director
88,22,7400,actor
89,23,1989,actor
90,23,3304,director
91,23,4797,actor
92,24,1495,actor
93,24,2073,actor
94,24,5429,actor
95,24,6004,director
96,25,246,director
97,25,2781,actor
98,25,3783,actor
99,25,4726,actor
100,26,2674,actor
101,26,5957,actor
102,26,7406,actor
103,26,8174,director
104,27,666,actor
105,27,3918,director
106,27,6842,actor
107,27,8178,actor
108,28,465,actor
109,28,2143,actor
110,28,3304,director
111,28,7038,actor
112,29,1475,actor
113,29,1554,actor
114,29,3122,actor
115,29,5512,director
116,30,2458,actor
117,30,3171,actor
118,30,7400,actor
119,30,8101,director
120,31,679,actor
121,31,2458,actor
122,31,2782,director
123,31,6551,actor
124,32,246,director
125,32,4779,actor
126,32,6006,actor
127,32,6592,actor
128,33,1683,actor
129,33,2607,actor
130,33,3546,actor
131,33,8174,director
132,34,821,director
133,34,2598,actor
134,34,3424,actor
135,34,6532,actor
136,35,2889,actor
137,35,3708,actor
138,35,4874,actor
139,35,7670,director
140,36,3619,actor
141,36,4131,actor
142,36,4581,director
143,36,4843,actor
144,37,2141,actor
145,37,2594,director
146,37,4874,actor
147,37,7762,actor
148,38,1683,actor
149,38,5797,actor
150,38,7708,actor
151,38,8279,director
152,39,1202,actor
153,39,1964,actor
154,39,2290,director
155,39,3925,actor
156,40,2491,actor
157,40,6074,director
158,40,6710,actor
159,40,7684,actor
