"index","language_id","language"
"0","1","Dutch"
"1","2","English"
"2","3","Papiamento"
"3","4","Spanish"
"4","5","Balochi"
"5","6","Dari"
"6","7","Pashto"
"7","8","Turkmenian"
"8","9","Uzbek"
"9","10","Ambo"
"10","11","Chokwe"
"11","12","Kongo"
"12","13","Luchazi"
"13","14","Luimbe-nganguela"
"14","15","Luvale"
"15","16","Mbundu"
"16","17","Nyaneka-nkhumbi"
"17","18","Ovimbundu"
"18","19","Albaniana"
"19","20","Greek"
"20","21","Macedonian"
"21","22","Catalan"
"22","23","French"
"23","24","Portuguese"
"24","25","Arabic"
"25","26","Hindi"
"26","27","Indian Languages"
"27","28","Italian"
"28","29","Armenian"
"29","30","Azerbaijani"
"30","31","Samoan"
"31","32","Tongan"
"32","33","Creole English"
"33","34","Canton Chinese"
"34","35","German"
"35","36","Serbo-Croatian"
"36","37","Vietnamese"
"37","38","Czech"
"38","39","Hungarian"
"39","40","Polish"
"40","41","Romanian"
"41","42","Slovene"
"42","43","Turkish"
"43","44","Lezgian"
"44","45","Russian"
"45","46","Kirundi"
"46","47","Swahili"
"47","48","Adja"
"48","49","Aizo"
"49","50","Bariba"
"50","51","Fon"
"51","52","Ful"
"52","53","Joruba"
"53","54","Somba"
"54","55","Busansi"
"55","56","Dagara"
"56","57","Dyula"
"57","58","Gurma"
"58","59","Mossi"
"59","60","Bengali"
"60","61","Chakma"
"61","62","Garo"
"62","63","Khasi"
"63","64","Marma"
"64","65","Santhali"
"65","66","Tripuri"
"66","67","Bulgariana"
"67","68","Romani"
"68","69","Creole French"
"69","70","Belorussian"
"70","71","Ukrainian"
"71","72","Garifuna"
"72","73","Maya Languages"
"73","74","Aimará"
"74","75","Guaraní"
"75","76","Ketšua"
"76","77","Japanese"
"77","78","Bajan"
"78","79","Chinese"
"79","80","Malay"
"80","81","Malay-English"
"81","82","Asami"
"82","83","Dzongkha"
"83","84","Nepali"
"84","85","Khoekhoe"
"85","86","Ndebele"
"86","87","San"
"87","88","Shona"
"88","89","Tswana"
"89","90","Banda"
"90","91","Gbaya"
"91","92","Mandjia"
"92","93","Mbum"
"93","94","Ngbaka"
"94","95","Sara"
"95","96","Eskimo Languages"
"96","97","Punjabi"
"97","98","Romansh"
"98","99","Araucan"
"99","100","Rapa nui"
"100","101","Dong"
"101","102","Hui"
"102","103","Mantšu"
"103","104","Miao"
"104","105","Mongolian"
"105","106","Puyi"
"106","107","Tibetan"
"107","108","Tujia"
"108","109","Uighur"
"109","110","Yi"
"110","111","Zhuang"
"111","112","Akan"
"112","113","Gur"
"113","114","Kru"
"114","115","Malinke"
"115","116","[South]Mande"
"116","117","Bamileke-bamum"
"117","118","Duala"
"118","119","Fang"
"119","120","Maka"
"120","121","Mandara"
"121","122","Masana"
"122","123","Tikar"
"123","124","Boa"
"124","125","Luba"
"125","126","Mongo"
"126","127","Ngala and Bangi"
"127","128","Rundi"
"128","129","Rwanda"
"129","130","Teke"
"130","131","Zande"
"131","132","Mbete"
"132","133","Mboshi"
"133","134","Punu"
"134","135","Sango"
"135","136","Maori"
"136","137","Arawakan"
"137","138","Caribbean"
"138","139","Chibcha"
"139","140","Comorian"
"140","141","Comorian-Arabic"
"141","142","Comorian-French"
"142","143","Comorian-madagassi"
"143","144","Comorian-Swahili"
"144","145","Crioulo"
"145","146","Moravian"
"146","147","Silesiana"
"147","148","Slovak"
"148","149","Southern Slavic Languages"
"149","150","Afar"
"150","151","Somali"
"151","152","Danish"
"152","153","Norwegian"
"153","154","Swedish"
"154","155","Berberi"
"155","156","Sinaberberi"
"156","157","Bilin"
"157","158","Hadareb"
"158","159","Saho"
"159","160","Tigre"
"160","161","Tigrinja"
"161","162","Basque"
"162","163","Galecian"
"163","164","Estonian"
"164","165","Finnish"
"165","166","Amhara"
"166","167","Gurage"
"167","168","Oromo"
"168","169","Sidamo"
"169","170","Walaita"
"170","171","Saame"
"171","172","Fijian"
"172","173","Faroese"
"173","174","Kosrean"
"174","175","Mortlock"
"175","176","Pohnpei"
"176","177","Trukese"
"177","178","Wolea"
"178","179","Yap"
"179","180","Mpongwe"
"180","181","Punu-sira-nzebi"
"181","182","Gaeli"
"182","183","Kymri"
"183","184","Abhyasi"
"184","185","Georgiana"
"185","186","Osseetti"
"186","187","Ewe"
"187","188","Ga-adangme"
"188","189","Kissi"
