"index","region_name","region_area"
"0","Antarctica","13132101"
"1","Australia and New Zealand","8011939"
"2","Baltic Countries","175117"
"3","British Islands","313173"
"4","Caribbean","234423"
"5","Central Africa","6612667"
"6","Central America","2479532"
"7","Eastern Africa","6299891"
"8","Eastern Asia","11774482"
"9","Eastern Europe","18814094"
"10","Melanesia","540774"
"11","Micronesia","3102"
"12","Micronesia/Caribbean","16"
"13","Middle East","4820592"
"14","Nordic Countries","1321901"
"15","North America","21500515"
"16","Northern Africa","8524703"
"17","Polynesia","8463"
"18","South America","17864926"
"19","Southeast Asia","4494801"
"20","Southern Africa","2674778"
"21","Southern and Central Asia","10791130"
"22","Southern Europe","1316392.4"
"23","Western Africa","6138338"
"24","Western Europe","1108456.5"
