"index","country_id","year","population","gdp"
"0","1","1986","62644","405463417"
"1","1","1987","61833","487602457"
"2","1","1988","61079","596423607"
"3","1","1989","61032","695304363"
"4","1","1990","62149","764887117"
"5","1","1991","64622","872138730"
"6","1","1992","68235","958463200"
"7","1","1993","72504","1082979708"
"8","1","1994","76700","1245688253"
"9","1","1995","80324","1320474860"
"10","1","1996","83200","1379960894"
"11","1","1997","85451","1531944134"
"12","1","1998","87277","1665100559"
"13","1","1999","89005","1722798883"
"14","1","2000","90853","1873452514"
"15","1","2001","92898","1920111732"
"16","1","2002","94992","1941340782"
"17","1","2003","97017","2021229050"
"18","1","2004","98737","2228491620"
"19","1","2005","100031","2330726257"
"20","1","2006","100834","2424581006"
"21","1","2007","101222","2615083799"
"22","1","2008","101358","2745251397"
"23","1","2009","101455","2498882682"
"24","1","2010","101669","2390502793"
"25","1","2011","102046","2549720670"
"26","1","2012","102560","2534636872"
"27","1","2013","103159","2581564246"
"28","1","2014","103774","2649720670"
"29","1","2015","104341","2691620112"
"30","1","2016","104872","2646927374"
"31","1","2017","105366","2700558659"
"32","2","1960","8996973","537777811"
"33","2","1961","9169410","548888895"
"34","2","1962","9351441","546666677"
"35","2","1963","9543205","751111191"
"36","2","1964","9744781","800000044"
"37","2","1965","9956320","1006666638"
"38","2","1966","10174836","1399999967"
"39","2","1967","10399926","1673333418"
"40","2","1968","10637063","1373333367"
"41","2","1969","10893776","1408888922"
"42","2","1970","11173642","1748886596"
"43","2","1971","11475445","1831108971"
"44","2","1972","11791215","1595555476"
"45","2","1973","12108963","1733333264"
"46","2","1974","12412950","2155555498"
"47","2","1975","12689160","2366666616"
"48","2","1976","12943093","2555555567"
"49","2","1977","13171306","2953333418"
"50","2","1978","13341198","3300000109"
"51","2","1979","13411056","3697940410"
"52","2","1980","13356511","3641723322"
"53","2","1981","13171673","3478787909"
"54","2","2002","22600770","4055176933"
"55","2","2003","23680871","4515563414"
"56","2","2004","24726684","5226775163"
"57","2","2005","25654277","6209140044"
"58","2","2006","26433049","6971286732"
"59","2","2007","27100536","9747886105"
"60","2","2008","27722276","10109218068"
"61","2","2009","28394813","12439087077"
"62","2","2010","29185507","15856574731"
"63","2","2011","30117413","17804280538"
"64","2","2012","31161376","20001615789"
"65","2","2013","32269589","20561054090"
"66","2","2014","33370794","20484873230"
"67","2","2015","34413603","19907111419"
